t/s	x/m	y/m
8.46	2.601	4.798
8.48	2.553	4.774
8.50	2.505	4.750
8.52	2.456	4.726
8.54	2.407	4.702
8.56	2.358	4.677
8.58	2.308	4.653
8.60	2.258	4.628
8.62	2.208	4.603
8.64	2.158	4.578
8.66	2.107	4.553
8.68	2.056	4.528
8.70	2.005	4.502
8.72	1.953	4.476
8.74	1.901	4.450
8,76	1.849	4.424
8.78	1.796	4.398
8.80	1.743	4.372
8.82	1.690	4.346
8.84	1.637	4.319
8.86	1.583	4.292
8.88	1.529	4.265
8.90	1.475	4.238
8.92	1.420	4.211
8.94	1.365	4.183
8.96	1.310	4.156
8.98	1.254	4.128
9.00	1.198	4.100
9.02	1.142	4.072
9.04	1.085	4.044
9.06	1.028	4.015
9.08	0.971	3.987
9.10	0.914	3.958
9.12	0.856	3.929
9.14	0.798	3.900
9.16	0.739	3.871
9.18	0.681	3.842
9.20	0.622	3.812
9.22	0.562	3.782
9.24	0.503	3.752
9.26	0.443	3.722
9.28	0.382	3.692
9.30	0.322	3.662
9.32	0.261	3.632
9.34	0.200	3.601
9.36	0.138	3.570
9.38	0.076	3.539
9.40	0.014	3.508
